material_id,formula_pretty,nsites,composition,density,energy_per_atom,formation_energy_per_atom,energy_above_hull,band_gap,efermi,is_gap_direct,is_metal,cbm,vbm,is_magnetic,total_magnetization,total_magnetization_normalized_formula_units,num_unique_magnetic_sites
mp-1234022,MgAg6Mo10O33,50,Mg1 Ag6 Mo10 O33,4.900243495181945,-7.486918665799999,-1.675532665249998,0.0453398323833296,1.3099999999999998,2.00534978,False,False,3.2144,1.9044,True,2.0,2.0,10.0
mp-1233828,MgAg6Mo10O33,50,Mg1 Ag6 Mo10 O33,4.884962884235088,-7.485393457400001,-1.6740074568499994,0.0468650407833282,1.277,1.84114853,False,False,3.0824,1.8054,True,2.0,2.0,10.0
mp-504579,Ag6Mo10O33,49,Ag6 Mo10 O33,4.947986917740142,-7.520384188367347,-1.6236733717857128,0.0171187047959042,1.771,1.06711412,False,False,2.7889,1.0179,False,0.0012232,0.0012232,0.0
mp-1205440,Ag6Mo10O33,49,Ag6 Mo10 O33,5.107941082511153,-7.520520756326531,-1.623809939744897,0.0169821368367202,1.8778,3.23668864,False,False,3.2368,1.359,False,0.0009799,0.0009799,0.0
mp-1234516,MgAg6Mo10O33,50,Mg1 Ag6 Mo10 O33,5.067236163732365,-7.4764364778,-1.6650504772499994,0.0558220203833288,1.1127000000000002,2.25417379,False,False,3.3111,2.1984,True,2.0000001,2.0000001,10.0
mp-1233948,MgAg6Mo10O33,50,Mg1 Ag6 Mo10 O33,4.798207981977608,-7.468804803,-1.6574188024499994,0.0634536951833286,1.0446999999999995,1.86649082,False,False,2.8568,1.8121,True,2.0,2.0,10.0
mp-1105028,Ag(MoSe)3,14,Ag2 Mo6 Se6,7.542351078551028,-7.069787136428573,-0.5172696448139901,0.1202399636904747,0.0,5.64138057,False,True,,,False,0.0,0.0,0.0
mp-1355420,Ag3Mo3AsO13,40,Ag6 Mo6 As2 O26,5.235736130317534,-5.5903183015,-0.0845525869999996,1.4530386960625012,0.0,2.69524351,False,True,,,True,0.4075602,0.2037801,3.0
mp-17427,AgMo3(PO7)2,40,Ag2 Mo6 P4 O28,4.127547865016873,-7.870874577499999,-2.093748218797619,0.0124018764375009,1.9584,3.23313939,False,False,3.2335,1.2751,True,2.0019394,1.0009697,3.0
mp-1214986,Ag3Mo3AsO13,40,Ag6 Mo6 As2 O26,5.235736132971836,-7.03609563375,-1.53032991925,0.0072613638125016,1.7696,1.49071673,False,False,3.2603,1.4907,False,0.0017293,0.00086465,0.0
mp-19467,AgMo3P3O16,46,Ag2 Mo6 P6 O32,3.824892728088864,-7.891300994130433,-2.2016258574171816,0.0188328305434799,1.3616,2.96494936,False,False,2.8158,1.4542,True,0.0025219,0.00126095,3.0
mp-603946,AgMo4H22C8(NO5)3,106,Ag2 Mo8 H44 C16 N6 O30,2.6298931437877755,-6.377170801132076,-0.829108295786164,0.2476064199119507,1.9177,1.85458628,False,False,1.8265,-0.0912,False,0.016828,0.008414,0.0
mp-560774,U3Ag6Mo5O27,82,U6 Ag12 Mo10 O54,6.066314957137106,-7.886117096219511,-2.0599896045731683,0.0170560557926435,1.3867000000000005,1.66269463,False,False,2.9498,1.5631,False,0.0002142,0.0001071,0.0
mp-1229264,AgMo5P8O33,94,Ag2 Mo10 P16 O66,3.301220808185859,-7.965399714999999,-2.352215049602329,0.0028498392021134,2.543,1.03468832,False,False,3.3537,0.8107,True,9.9999999,4.99999995,5.0
mp-1229066,AgMo6(SeS)4,15,Ag1 Mo6 Se4 S4,6.321282139292223,-7.355461040666667,-0.7918662060694459,0.0855964765555556,0.0,5.1842392,False,True,,,False,0.0426142,0.0426142,0.0
mp-29607,Ag(TeMo)6,13,Ag1 Te6 Mo6,7.024271182536435,-25.671849510769228,-0.2648418457692313,0.0,0.0,4.99545694,False,True,,,False,1e-07,1e-07,0.0
mp-1103642,Ag(Mo3Se4)2,15,Ag1 Mo6 Se8,6.916088833517201,-7.10572967,-0.713454326027778,0.0798909645555587,0.0,4.55201147,False,True,,,False,0.0027921,0.0027921,0.0
